product_id,product_code,stock
100870, HM6412600833492, 1
100871, HM6412600833447, 1
100872, HM6412600833454, 1
100873, HM6412600833461, 1
100874, HM6412600828368, 111
100875, HM6412600818475, 1
100876, HM6412600818451, 333
100877, HM6412600818468, 1
100878, HM6412600828351, 1
100879, HM6412600847536, 1
100880, HM6412600847550, 1
100881, HM6412600847567, 1
100882, HM6412600847574, 1
100883, HM6412600849516, 6
100884, HM6412600849523, 4
100885, HM6412600858044, 3
100886, HM6412600837780, 1
100887, HM6412600837797, 1
100888, HM6412600837148, 2
100889, HM6412600834529, 1
100890, HM6412600815818, 1
100891, HM6412600815825, 1
100892, HM6412600815832, 1
100893, HM6412600815849, 1
100894, HM6412600815856, 1
100895, HM6412600837773, 1
100896, HM6412600816815, 1
100897, HM6412600816822, 1
100898, HM6412600816839, 1
100899, HM6412600816846, 1
100900, HM6412600838909, 1
100901, HM6412600838916, 3
100902, HM6412600838923, 1
100903, HM6412600838930, 1
100904, HM6412600832808, 1
100905, HM6412600832815, 1
100906, HM6412600832822, 1
100907, HM6412600832839, 1
100908, HM6412600823561, 1
100909, HM6412600823165, 1
100910, HM6412600843217, 1
100911, HM6412600843224, 1
100912, HM6412600843231, 1
100913, HM6412600843248, 1
100914, HM6412600843255, 1
100915, HM6412600843262, 1
100916, HM6412600843279, 1
100917, HM6412600843286, 1
100918, HM6412600858181, 2
100919, HM6412600858051, 2
100920, HM6412600847611, 2
100921, HM6412600847628, 1
100922, HM6412600847635, 1
100923, HM6412600847642, 2
100924, HM6412600847659, 4
100925, HM6412600834925, 1
100926, HM6412600834918, 1
100927, HM6412600834932, 3
100928, HM6412600834949, 1
100929, HM6412600834901, 3
100930, HM6412600835113, 1
100931, HM6412600835120, 1
100932, HM6412600835106, 1
100933, HM6412600835137, 1
100934, HM6412600835144, 1
100935, HM6412600835151, 1
100936, HM6412600835168, 1
100937, HM6412600835175, 1
100938, HM6412600834611, 1
100939, HM6412600834604, 3
100940, HM6412600834635, 1
100941, HM6412600834642, 2
100942, HM6412600834659, 1
100943, HM6412600834666, 1
100944, HM6412600834673, 1
100945, HM6412600832518, 1
100946, HM6412600832525, 1
100947, HM6412600832532, 1
100948, HM6412600832549, 1
100949, HM6412600832556, 1
100950, HM6412600832563, 1
100951, HM6412600832570, 1
100952, HM6412600832587, 1
100953, HM6412600834314, 1
100954, HM6412600834321, 1
100955, HM6412600834338, 1
100956, HM6412600834345, 1
